shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10109,39.524143,-119.809141,30014
10109,39.524049,-119.809167,30015
10109,39.523999,-119.809191,30016
10109,39.523972,-119.809208,30017
10109,39.523950,-119.809222,30018
10109,39.523889,-119.809239,30019
10109,39.523845,-119.809245,30020
10109,39.523749,-119.809243,30021
10109,39.523692,-119.809228,30022
10109,39.523268,-119.809026,30023
10109,39.522599,-119.808692,30024
10109,39.522241,-119.809883,30025
10109,39.521900,-119.811164,30026
10109,39.521808,-119.811060,30027
10109,39.521694,-119.810983,30028
10109,39.520968,-119.810628,30029
10109,39.520968,-119.810628,40001
10109,39.520912,-119.810601,40002
10109,39.520413,-119.810358,40003
10109,39.519932,-119.810116,40004
10109,39.518886,-119.809605,40005
10109,39.518296,-119.809314,40006
10109,39.517706,-119.809027,40007
10109,39.517020,-119.808686,40008
10109,39.516523,-119.808447,40009
10109,39.516481,-119.808426,40010
10109,39.516481,-119.808426,50001
10109,39.516387,-119.808380,50002
10109,39.515461,-119.807925,50003
10109,39.514861,-119.807631,50004
10109,39.514861,-119.807631,60001
10109,39.514813,-119.807608,60002
10109,39.514770,-119.807586,60003
10109,39.512888,-119.806671,60004
10109,39.512628,-119.806531,60005
10109,39.511694,-119.806104,60006
10109,39.511442,-119.805982,60007
10109,39.511442,-119.805982,70001
10109,39.510760,-119.805652,70002
10109,39.509760,-119.805170,70003
10109,39.508790,-119.804704,70004
10109,39.508790,-119.804704,80001
10109,39.508427,-119.804530,80002
10109,39.507897,-119.804272,80003
10109,39.507353,-119.804011,80004
10109,39.506926,-119.803797,80005
10109,39.506926,-119.803797,90001
10109,39.506700,-119.803684,90002
10109,39.506160,-119.803420,90003
10109,39.505747,-119.803228,90004
10109,39.504685,-119.802710,90005
10109,39.504111,-119.802438,90006
10109,39.504111,-119.802438,100001
10109,39.502633,-119.801738,100002
10109,39.501852,-119.801360,100003
10109,39.501461,-119.801169,100004
10109,39.500770,-119.800823,100005
10109,39.500623,-119.800743,100006
10109,39.499757,-119.800306,100007
10109,39.499372,-119.800109,100008
10109,39.499372,-119.800109,110001
10109,39.498861,-119.799847,110002
10109,39.498564,-119.799693,110003
10109,39.497435,-119.799135,110004
10109,39.496161,-119.798529,110005
10109,39.496161,-119.798529,120001
10109,39.495611,-119.798267,120002
10109,39.494752,-119.797887,120003
10109,39.494580,-119.797803,120004
10109,39.494397,-119.797719,120005
10109,39.494397,-119.797719,130001
10109,39.493662,-119.797383,130002
10109,39.493135,-119.797133,130003
10109,39.492193,-119.796634,130004
10109,39.491562,-119.796301,130005
10109,39.491265,-119.796154,130006
10109,39.490667,-119.795857,130007
10109,39.490667,-119.795857,140001
10109,39.488047,-119.794557,140002
10109,39.487904,-119.794575,140003
10109,39.486810,-119.794031,140004
10109,39.486810,-119.794031,150001
10109,39.485670,-119.793463,150002
10109,39.485361,-119.793302,150003
10109,39.484638,-119.792947,150004
10109,39.484638,-119.792947,160001
10109,39.484006,-119.792637,160002
10109,39.483162,-119.792229,160003
10109,39.482234,-119.791777,160004
10109,39.482179,-119.791752,160005
10109,39.482102,-119.791718,160006
10109,39.481652,-119.791509,160007
10109,39.480996,-119.791194,160008
10109,39.480996,-119.791194,170001
10109,39.480335,-119.790877,170002
10109,39.479641,-119.790546,170003
10109,39.479398,-119.790439,170004
10109,39.479272,-119.790387,170005
10109,39.479058,-119.790286,170006
10109,39.478851,-119.790188,170007
10109,39.478620,-119.790076,170008
10109,39.478267,-119.789901,170009
10109,39.477829,-119.789692,170010
10109,39.477122,-119.789351,170011
10109,39.477010,-119.789303,170012
10109,39.476846,-119.789236,170013
10109,39.476690,-119.789177,170014
10109,39.475772,-119.788690,170015
