stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1665,,"Enterprise Road and Valley Road",,  39.551460,-119.808937,,,0,
167,,"Kings Row and Apollo Way",,  39.538139,-119.852119,,,0,
1674,,"Sharlands Avenue and Robb Drive",,  39.518440,-119.886505,,,0,
1675,,"Sharlands Avenue at Sharlands Terrace Apartments",,  39.519127,-119.891289,,,0,
1676,,"Sharlands Avenue and Avenida de Landa",,  39.519375,-119.896751,,,0,
1677,,"Avenida De Landa and Chesterfield Lane",,  39.521896,-119.895622,,,0,
168,,"Kings Row and Wyoming Avenue",,  39.537113,-119.846786,,,0,
1680,,"N Arlington Avenue and W 2nd Street",,  39.526913,-119.817383,,,0,
1682,,"N Center Street and E 7th Street",,  39.533478,-119.813950,,,0,
169,,"Kings Row and Crown Drive",,  39.536602,-119.842720,,,0,
1697,,"S Virginia Street and Sierra Manor Drive",,  39.442459,-119.772148,,,0,
1698,,"S Virginia Street and Arrowcreek Parkway",,  39.421368,-119.758354,,,0,
1699,,"N Carson Street and College Parkway",,  39.190002,-119.772919,,,0,
170,,"Kings Row and Severn Drive",,  39.536785,-119.839241,,,0,
1700,,"N Carson Street and W Winnie Lane",,  39.180122,-119.767242,,,0,
1702,,"S Stewart Street at Supreme Court",,  39.162708,-119.764580,,,0,
1708,,"S Stewart Street at Supreme Court",,  39.162975,-119.764442,,,0,
1710,,"N Carson Street and Hot Springs Road",,  39.180012,-119.766930,,,0,
1711,,"N Carson Street and W College Parkway",,  39.189510,-119.772240,,,0,
